"업소명",업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
"루멘하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 태평로 205번길 39(호근동),제주특별자치도 서귀포시 태평로 205번길 39(호근동),,5,,,,,,33.2467203,126.5405194,2017-12-15
"사랑소",민박,내국인+외국인,,제주특별자치도 서귀포시 예래로 115(상예동),제주특별자치도 서귀포시 예래로 115(상예동),,5,,,,,,33.2451213,126.3852784,2017-12-15
"시루내민박",민박,내국인+외국인,,제주특별자치도 서귀포시 검은여로 79(토평동),제주특별자치도 서귀포시 검은여로 79(토평동),,2,,,,,,33.2504605,126.5785436,2017-12-15
"샘모루",민박,내국인+외국인,,제주특별자치도 서귀포시 염돈로 28번길 11(강정동),제주특별자치도 서귀포시 염돈로 28번길 11(강정동),,4,,,,,,33.2531002,126.4927358,2017-12-15
"범섬 풍경",민박,내국인+외국인,,제주특별자치도 서귀포시 속골로 26(호근동),제주특별자치도 서귀포시 속골로 26(호근동),,5,,,,,,33.2421447,126.5297308,2017-12-15
"중문와우펜션",민박,내국인+외국인,,제주특별자치도 서귀포시 1100로 44 (중문동),제주특별자치도 서귀포시 1100로 44 (중문동),,7,,,,,,33.2544421,126.4346358,2017-12-15
"바다로 향한 문",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 남원리 1382,제주특별자치도 서귀포시 남원읍 남원리 1382,,7,,,,,,33.2767709,126.7114207,2017-12-15
"바다산책",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 남원리 1398-5,제주특별자치도 서귀포시 남원읍 남원리 1398-5,,4,,,,,,33.2752239,126.7104806,2017-12-15
"바다에 누워",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 위미리 2943-1,제주특별자치도 서귀포시 남원읍 위미리 2943-1,,5,,,,,,33.2695894,126.6578101,2017-12-15
"밸리 통나무 빌리지",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 하례리 768-2,제주특별자치도 서귀포시 남원읍 하례리 768-2,,7,,,,,,33.2735348,126.6231823,2017-12-15
"삼천리민박",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 남원리 1253-28,제주특별자치도 서귀포시 남원읍 남원리 1253-28,,3,,,,,,33.2829693,126.7159187,2017-12-15
"아침의 새소리",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 의귀리 416,제주특별자치도 서귀포시 남원읍 의귀리 416,,4,,,,,,33.311317,126.7226314,2017-12-15
"양지 통나무 집",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 남원리 1398,제주특별자치도 서귀포시 남원읍 남원리 1398,,4,,,,,,33.2753873,126.7098019,2017-12-15
"지중해리조트",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 태흥리 1148,제주특별자치도 서귀포시 남원읍 태흥리 1148,,7,,,,,,33.2829591,126.7446283,2017-12-15
"체리 하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 남원리 1373-1,제주특별자치도 서귀포시 남원읍 남원리 1373-1,,6,,,,,,33.2762271,126.7101792,2017-12-15
"티파니에서 아침을",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 의귀리 1318-1,제주특별자치도 서귀포시 남원읍 의귀리 1318-1,,6,,,,,,33.3048367,126.7124662,2017-12-15
"팔도민박",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 남원리 1377,제주특별자치도 서귀포시 남원읍 남원리 1377,,5,,,,,,33.2766867,126.7118233,2017-12-15
"공천포 민박",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 신례리 27-1,제주특별자치도 서귀포시 남원읍 신례리 27-1,,4,,,,,,33.266458,126.6429427,2017-12-15
"올리브하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 남원리1398-3,제주특별자치도 서귀포시 남원읍 남원리1398-3,,3,,,,,,33.2755419,126.7107131,2017-12-15
"예촌민박",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 신례리 828-8,제주특별자치도 서귀포시 남원읍 신례리 828-8,,2,,,,,,33.2836638,126.6312000,2017-12-15
"태흥리조트",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 태흥리 373-1,제주특별자치도 서귀포시 남원읍 태흥리 373-1,,7,,,,,,33.2877718,126.7499302,2017-12-15
"모두올레",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 태흥리 1785-2,제주특별자치도 서귀포시 남원읍 태흥리 1785-2,,2,,,,,,33.2819551,126.7324532,2017-12-15
"쉼팡민박",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 신례리 56-16,제주특별자치도 서귀포시 남원읍 신례리 56-16,,3,,,,,,33.2657372,126.6414202,2017-12-15
"안녕메이",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 신례리 81,제주특별자치도 서귀포시 남원읍 신례리 81,,3,,,,,,33.264414,126.6401281,2017-12-15
"나무이야기",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 남원리 153-3,제주특별자치도 서귀포시 남원읍 남원리 153-3,,2,,,,,,33.2808477,126.7166153,2017-12-15
"에코",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 수망리 938-31(제다동),제주특별자치도 서귀포시 남원읍 수망리 938-31(제다동),,2,,,,,,33.3508829,126.6980129,2017-12-15
"오복",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 태위로 679번길 15,제주특별자치도 서귀포시 남원읍 태위로 679번길 15,,3,,,,,,33.2805733,126.7185945,2017-12-15
"하얀성",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 위미대화로 23-17,제주특별자치도 서귀포시 남원읍 위미대화로 23-17,,3,,,,,,33.2727481,126.6561899,2017-12-15
"글라라 민박",민박,내국인+외국인,,제주특별자치도 서귀포시 남원읍 남원리 264-1,제주특별자치도 서귀포시 남원읍 남원리 264-1,,5,,,,,,33.2859026,126.7177018,2017-12-15
"더썸",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 난고로42번길 110. 103동,제주특별자치도 서귀포시 성산읍 난고로42번길 110. 103동,,2,,,,,,33.4433216,126.9043751,2017-12-15
"감성스테이 유키",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 환해장성로 117,제주특별자치도 서귀포시 성산읍 환해장성로 117,,1,,,,,,33.3824378,126.8799637,2017-12-15
"제주봉봉",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 신양로 61,제주특별자치도 서귀포시 성산읍 신양로 61,,2,,,,,,33.4359259,126.9163769,2017-12-15
"제이앤제이",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 온평포구로 18,제주특별자치도 서귀포시 성산읍 온평포구로 18,,4,,,,,,33.402603,126.8965565,2017-12-15
"아이니하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 오조로41번길 30-1,제주특별자치도 서귀포시 성산읍 오조로41번길 30-1,,2,,,,,,33.4591337,126.9126569,2017-12-15
"오랑게 게스트하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 성산중앙로 46-1,제주특별자치도 서귀포시 성산읍 성산중앙로 46-1,,6,,,,,,33.4636138,126.9340253,2017-12-15
"에바다 라이더 하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 고성중앙로 7-8,제주특별자치도 서귀포시 성산읍 고성중앙로 7-8,,2,,,,,,33.446953,126.9043886,2017-12-15
"여유펜션",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 한도로 23,제주특별자치도 서귀포시 성산읍 한도로 23,,6,,,,,,33.4645299,126.9376073,2017-12-15
"힐링의 섬집",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 신고로22번길 17,제주특별자치도 서귀포시 성산읍 신고로22번길 17,,1,,,,,,33.4373733,126.9188905,2017-12-15
"용눈이펜션",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 수시로 51,제주특별자치도 서귀포시 성산읍 수시로 51,,3,,,,,,33.4495416,126.8852919,2017-12-15
"열루니지비",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 난산온평로 3,제주특별자치도 서귀포시 성산읍 난산온평로 3,,4,,,,,,33.4067248,126.8932781,2017-12-15
"썬시티게스트하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 한도로 120,제주특별자치도 서귀포시 성산읍 한도로 120,,4,,,,,,33.4685469,126.9207208,2017-12-15
"효명파크",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 동류암로36번길 12. 제2동,제주특별자치도 서귀포시 성산읍 동류암로36번길 12. 제2동,,5,,,,,,33.4501226,126.9165349,2017-12-15
"레드피아노",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 일주동로 5185. 가동,제주특별자치도 서귀포시 성산읍 일주동로 5185. 가동,,5,,,,,,33.4465539,126.5405357,2017-12-15
"진이민박",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 시흥하동로 60. 제1호,제주특별자치도 서귀포시 성산읍 시흥하동로 60. 제1호,,1,,,,,,33.4741473,126.9053429,2017-12-15
"힐링하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 난고로34번길 145. 제3동,제주특별자치도 서귀포시 성산읍 난고로34번길 145. 제3동,,2,,,,,,33.4420013,126.9089509,2017-12-15
"오병이어",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 신천서로50번길 8-2. 2동,제주특별자치도 서귀포시 성산읍 신천서로50번길 8-2. 2동,,2,,,,,,33.340746,126.8499367,2017-12-15
"성산힐링펜션&게스트하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 산성효자로 41,제주특별자치도 서귀포시 성산읍 산성효자로 41,,6,,,,,,33.4588503,126.9135446,2017-12-15
"성산에 오거들랑",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 고성동서로 13-7,제주특별자치도 서귀포시 성산읍 고성동서로 13-7,,6,,,,,,33.4503447,126.9083524,2017-12-15
"탐라누리",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 금백조로 68,제주특별자치도 서귀포시 성산읍 금백조로 68,,2,,,,,,33.4398313,126.8658054,2017-12-15
"또바기",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 서성일로 991번길 22-6,제주특별자치도 서귀포시 성산읍 서성일로 991번길 22-6,,2,,,,,,33.4439407,126.8856742,2017-12-15
"귤낭밭 우리집",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 난산로 41번길 67-21,제주특별자치도 서귀포시 성산읍 난산로 41번길 67-21,,1,,,,,,33.3972073,126.8673344,2017-12-15
"무위재",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 병악로 87,제주특별자치도 서귀포시 안덕면 병악로 87,,4,,,,,,33.2840102,126.3641856,2017-12-15
"산방민박",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 사계로 115-44,제주특별자치도 서귀포시 안덕면 사계로 115-44,,2,,,,,,33.2440215,126.2986369,2017-12-15
"베베앙팡",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 일주서로 2048번길 156-27,제주특별자치도 서귀포시 안덕면 일주서로 2048번길 156-27,,2,,,,,,33.262272,126.301598,2017-12-15
"더 조은 하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 향교로 184,제주특별자치도 서귀포시 안덕면 향교로 184,,2,,,,,,33.2371093,126.2897011,2017-12-15
JeJu DuDu House,민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 동광로 265-98,제주특별자치도 서귀포시 안덕면 동광로 265-98,,3,,,,,,33.3167233,126.3384459,2017-12-15
"다올",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 화순임중로 53. 4층,제주특별자치도 서귀포시 안덕면 화순임중로 53. 4층,,3,,,,,,33.2442252,126.3310043,2017-12-15
"토리의 꿈",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 사계신항로 6,제주특별자치도 서귀포시 안덕면 사계신항로 6,,6,,,,,,33.2497452,126.3187145,2017-12-15
Cottage shoe,민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 대평감산로 162-5,제주특별자치도 서귀포시 안덕면 대평감산로 162-5,,2,,,,,,33.2449814,126.3616676,2017-12-15
"광성",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 화순해안로 164-6,제주특별자치도 서귀포시 안덕면 화순해안로 164-6,,6,,,,,,33.2429681,126.3374518,2017-12-15
"정오 어멍네 집",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 화순서서로 272,제주특별자치도 서귀포시 안덕면 화순서서로 272,,4,,,,,,33.2722795,126.3173932,2017-12-15
"소랑제 돌담",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 소기왓로 75-2,제주특별자치도 서귀포시 안덕면 소기왓로 75-2,,1,,,,,,33.2354571,126.3676996,2017-12-15
"대정민박",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 상모대서로 1-4 (상모리 3867-2),제주특별자치도 서귀포시 안덕면 상모리 3867-2,,4,,,,,,33.2241742,126.2553461,2017-12-15
"바닷가하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 대정읍 형제해안로 254,제주특별자치도 서귀포시 대정읍 형제해안로 254,,7,,,,,,33.2122165,126.2921599,2017-12-15
"마라도휴게실",민박,내국인+외국인,,제주특별자치도 서귀포시 대정읍 마라로 69,제주특별자치도 서귀포시 대정읍 마라로 69,,5,,,,,,33.1176633,126.2661227,2017-12-15
"마라도별장민박",민박,내국인+외국인,,제주특별자치도 서귀포시 대정읍 마라로101번길 43,제주특별자치도 서귀포시 대정읍 마라로101번길 43,,5,,,,,,33.1182836,126.2667062,2017-12-15
"동성민박",민박,내국인+외국인,,제주특별자치도 서귀포시 대정읍 하모항구로 56,제주특별자치도 서귀포시 대정읍 하모항구로 56,,5,,,,,,33.2184108,126.2508719,2017-12-15
"최남단마라도민박",민박,내국인+외국인,,제주특별자치도 서귀포시 대정읍 마라로 101번길 46,제주특별자치도 서귀포시 대정읍 마라로 101번길 46,,7,,,,,,33.1185369,126.2673483,2017-12-15
"멜케 로그빌",민박,내국인+외국인,,제주특별자치도 서귀포시 대정읍 하모백사로14번길 1,제주특별자치도 서귀포시 대정읍 하모백사로14번길 1,,7,,,,,,33.2124826,126.2599015,2017-12-15
"미미하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 대정읍 무릉중앙로21번길 158-28,제주특별자치도 서귀포시 대정읍 무릉리 3845-5,,3,,,,,,33.2581612,126.1953562,2017-12-15
"블루오션",민박,내국인+외국인,,제주특별자치도 서귀포시 대정읍 가파로 53,제주특별자치도 서귀포시 대정읍 가파로 53,,4,,,,,,33.165419,126.2722516,2017-12-15
"가파도민박",민박,내국인+외국인,,제주특별자치도 서귀포시 대정읍 가파로67번길 5,제주특별자치도 서귀포시 대정읍 가파로67번길 5,,4,,,,,,33.1661962,126.2730328,2017-12-15
